game,md,team,opponent,venue,gf,ga,gd,result,points,was_ahead,was_behind,points_from_losing,points_dropped_from_winning,win_from_behind,draw_from_behind,loss_from_ahead,draw_from_ahead
ENTEBBE-VS-MAROONS,14,ENTEBBE,MAROONS,home,0,0,0,D,1,False,False,0,0,False,False,False,False
KCCA-VS-UPDF,14,UPDF,KCCA,away,0,4,-4,L,0,False,True,0,0,False,False,False,False
KCCA-VS-UPDF,14,KCCA,UPDF,home,4,0,4,W,3,True,False,0,0,False,False,False,False
KITARA-VS-EXPRESS,14,EXPRESS,KITARA,away,0,1,-1,L,0,False,True,0,0,False,False,False,False
KITARA-VS-EXPRESS,14,KITARA,EXPRESS,home,1,0,1,W,3,True,False,0,0,False,False,False,False
LUGAZI-VS-BUL,14,BUL,LUGAZI,away,1,2,-1,L,0,False,True,0,0,False,False,False,False
LUGAZI-VS-BUL,14,LUGAZI,BUL,home,2,1,1,W,3,True,False,0,0,False,False,False,False
VILLA-VS-MBARARA,14,MBARARA,VILLA,away,1,6,-5,L,0,False,True,0,0,False,False,False,False
VILLA-VS-MBARARA,14,VILLA,MBARARA,home,6,1,5,W,3,True,False,0,0,False,False,False,False
VIPERS-VS-POLICE,14,POLICE,VIPERS,away,1,4,-3,L,0,False,True,0,0,False,False,False,False
VIPERS-VS-POLICE,14,VIPERS,POLICE,home,4,1,3,W,3,True,False,0,0,False,False,False,False
CALVARY-VS-KITARA,15,KITARA,CALVARY,away,1,0,1,W,3,True,False,0,0,False,False,False,False
CALVARY-VS-KITARA,15,CALVARY,KITARA,home,0,1,-1,L,0,False,True,0,0,False,False,False,False
KCCA-VS-ENTEBBE,15,ENTEBBE,KCCA,away,1,0,1,W,3,True,False,0,0,False,False,False,False
KCCA-VS-ENTEBBE,15,KCCA,ENTEBBE,home,0,1,-1,L,0,False,True,0,0,False,False,False,False
MAROONS-VS-MBARARA,15,MBARARA,MAROONS,away,1,1,0,D,1,True,False,0,2,False,False,False,True
MAROONS-VS-MBARARA,15,MAROONS,MBARARA,home,1,1,0,D,1,False,True,1,0,False,True,False,False
NEC-VS-EXPRESS,15,EXPRESS,NEC,away,0,0,0,D,1,False,False,0,0,False,False,False,False
NEC-VS-EXPRESS,15,NEC,EXPRESS,home,0,0,0,D,1,False,False,0,0,False,False,False,False
UPDF-VS-BUL,15,BUL,UPDF,away,1,0,1,W,3,True,False,0,0,False,False,False,False
UPDF-VS-BUL,15,UPDF,BUL,home,0,1,-1,L,0,False,True,0,0,False,False,False,False
URA-VS-POLICE,15,POLICE,URA,away,0,0,0,D,1,False,False,0,0,False,False,False,False
URA-VS-POLICE,15,URA,POLICE,home,0,0,0,D,1,False,False,0,0,False,False,False,False
VILLA-VS-LUGAZI,15,LUGAZI,VILLA,away,0,0,0,D,1,False,False,0,0,False,False,False,False
VILLA-VS-LUGAZI,15,VILLA,LUGAZI,home,0,0,0,D,1,False,False,0,0,False,False,False,False
VIPERS-VS-BUHIMBA,15,BUHIMBA,VIPERS,away,0,4,-4,L,0,False,True,0,0,False,False,False,False
VIPERS-VS-BUHIMBA,15,VIPERS,BUHIMBA,home,4,0,4,W,3,True,False,0,0,False,False,False,False
